id,name,clouds.all,sys.country,dt,main.humidity,coord.lat,coord.lon,main.temp,wind.speed
4004293,Ixtapa,75,MX,1577295383,61,20.71,-105.21,78.89,4.97
3879429,Monte Patria,0,CL,1577295612,24,-30.69,-70.96,82.87,13.78
479071,Umba,100,RU,1577295613,89,66.69,34.34,17.55,9.06
2178753,Kirakira,87,SB,1577295613,84,-10.46,161.92,74.71,4.54
2013392,Vilyuysk,93,RU,1577295614,95,63.75,121.63,-30.05,8.41
3896218,Castro,90,CL,1577295614,82,-42.48,-73.76,55.4,2.24
554873,Senno,97,RU,1577295615,93,57.76,27.95,39.2,6.71
3629710,Puerto Ayacucho,40,CO,1577295616,62,5.66,-67.63,89.6,2.24
1267390,Kavaratti,0,IN,1577295616,74,10.57,72.64,83.41,5.48
5960603,Geraldton,90,CA,1577295546,92,49.72,-86.95,17.6,11.41
922741,Likasi,100,CD,1577295617,93,-10.99,26.74,65.95,2.3
3402648,Carutapera,68,BR,1577295617,79,-1.2,-46.02,83.26,21.0
286621,Salalah,3,OM,1577295618,49,17.01,54.1,73.4,5.82
3471451,Arraial do Cabo,20,BR,1577295619,65,-22.97,-42.02,82.4,11.41
4255466,Carmel,1,US,1577295424,71,39.98,-86.12,53.87,10.29
1015776,Bredasdorp,26,ZA,1577295620,52,-34.53,20.04,64.29,26.4
64814,Bandarbeyla,7,SO,1577295620,77,9.49,50.81,77.54,25.32
2122090,Pevek,100,RU,1577295621,99,69.7,170.27,-16.24,7.87
777682,Skjervoy,11,NO,1577295621,66,70.03,20.97,33.28,8.23
2071860,Esperance,100,AU,1577295608,83,-33.86,121.89,71.6,12.75
2135517,Norsup,91,VU,1577295622,79,-16.07,167.38,78.44,14.07
5592562,Emmett,90,US,1577295623,74,43.87,-116.5,31.06,1.41
2180815,Tuatapere,100,NZ,1577295623,93,-46.13,167.69,45.0,1.5
3355672,Luderitz,37,NA,1577295624,90,-26.65,15.16,62.98,21.63
146639,Lasa,75,CY,1577295624,58,34.92,32.53,55.09,20.8
2027786,Amga,35,RU,1577295625,99,60.89,131.98,-43.46,1.36
3161346,Bjorkelangen,40,NO,1577295625,100,59.88,11.57,27.39,3.33
3430443,Necochea,60,AR,1577295626,42,-38.55,-58.74,73.99,5.01
2192362,Christchurch,45,NZ,1577295626,93,-43.53,172.64,52.75,3.36
1714733,Dingle,100,PH,1577295627,89,11.0,122.67,73.27,3.18
4033557,Tautira,20,PF,1577295627,69,-17.73,-149.15,80.94,3.36
3372707,Ribeira Grande,40,PT,1577295629,72,38.52,-28.7,64.4,24.16
1804153,Leshan,92,CN,1577295629,43,29.56,103.76,45.36,4.92
5972291,Havre-Saint-Pierre,1,CA,1577295630,52,50.23,-63.6,15.8,6.93
2656067,Broome,0,GB,1577295630,92,52.47,1.45,36.3,3.36
1688696,San Policarpo,100,PH,1577295631,86,12.18,125.51,81.28,9.08
5836898,Rock Springs,90,US,1577295631,92,41.59,-109.2,26.6,3.36
3981432,Todos Santos,20,MX,1577295632,60,23.45,-110.23,73.72,2.24
3346821,Ondjiva,82,AO,1577295633,54,-17.07,15.73,78.42,10.87
2267254,Lagoa,100,PT,1577295633,82,37.14,-8.45,63.39,5.21
3147822,Gravdal,75,NO,1577295634,93,59.79,5.78,38.05,3.36
1630662,Praya,40,ID,1577295634,88,-8.71,116.27,77.0,3.24
